ProvDist,old,new,city_tag,2_muni_tag,typo_tag,remove_enye
,CITY OF SAN CARLOS,SAN CARLOS CITY,1,0,0,0
,CITY OF SAN CARLOS,SAN CARLOS CITY,1,0,0,0
PANGASINAN,PANGASINAN SAN CARLOS CITY,SAN CARLOS CITY,,,,
,CITY OF SAN FERNANDO,SAN FERNANDO CITY,1,1,0,0
LA UNION,LA UNION SAN FERNANDO CITY,SAN FERNANDO CITY,,,,
PAMPANGA,PAMPANGA SAN FERNANDO CITY,SAN FERNANDO CITY,,,,
,SAN JOSE CITY,SAN JOSE CITY,1,0,0,0
,CITY OF SAN JOSE DEL MONTE,SAN JOSE DEL MONTE CITY,1,0,0,0
,CITY OF SAN JUAN,SAN JUAN,1,0,0,0
,SAN JUAN CITY,SAN JUAN,,,,
,CITY OF SAN PABLO,SAN PABLO CITY,1,0,0,0
,CITY OF SAN PEDRO,SAN PEDRO,1,0,0,0
,CITY OF SANTA ROSA,SANTA ROSA CITY,1,0,0,0
,CITY OF SANTIAGO,SANTIAGO CITY,1,0,0,0
,CITY OF SANTO TOMAS,SANTO TOMAS,1,1,0,0
,SANTO TOMAS CITY,SANTO TOMAS,,,,
,SCIENCE CITY OF MUNOZ,SCIENCE CITY OF MUNOZ,1,0,0,1
,CITY OF SILAY,SILAY CITY,1,0,0,0
,CITY OF SIPALAY,SIPALAY CITY,1,0,0,0
,CITY OF SORSOGON,SORSOGON CITY,1,0,0,0
,CITY OF SURIGAO,SURIGAO CITY,1,0,0,0
,CITY OF TABACO,TABACO CITY,1,0,0,0
,CITY OF TABUK,TABUK CITY,1,0,0,0
,CITY OF TACLOBAN,TACLOBAN CITY,1,0,0,0
,CITY OF TACURONG,TACURONG CITY,1,0,0,0
,CITY OF TAGAYTAY,TAGAYTAY CITY,1,0,0,0
,CITY OF TAGBILARAN,TAGBILARAN CITY,1,0,0,0
,CITY OF TAGUIG,TAGUIG,1,0,0,0
,TAGUIG CITY,TAGUIG,,,,
,CITY OF TAGUM,TAGUM CITY,1,0,0,0
CEBU,CEBU TALISAY CITY,TALISAY CITY,,,,
,CITY OF TALISAY,TALISAY CITY,1,1,0,0
NEGROS OCCIDENTAL,NEGROS OCCIDENTAL TALISAY CITY,TALISAY CITY,,,,
,CITY OF TANAUAN,TANAUAN CITY,1,0,0,0
,CITY OF TANDAG,TANDAG CITY,1,0,0,0
,CITY OF TANGUB,TANGUB CITY,1,0,0,0
,CITY OF TANJAY,TANJAY CITY,1,0,0,0
,CITY OF TARLAC,TARLAC CITY,1,0,0,0
,CITY OF TAYABAS,TAYABAS CITY,1,0,0,0
,CITY OF TOLEDO,TOLEDO CITY,1,0,0,0
,CITY OF TRECE MARTIRES,TRECE MARTIRES CITY,1,0,0,0
,TUGUEGARAO CITY,TUGUEGARAO CITY,1,0,0,0
,CITY OF URDANETA,URDANETA CITY,1,0,0,0
,CITY OF VALENCIA,VALENCIA CITY,1,0,0,0
,CITY OF VALENZUELA,VALENZUELA,1,0,0,0
,VALENZUELA CITY,VALENZUELA,,,,
,CITY OF VICTORIAS,VICTORIAS CITY,1,0,0,0
,CITY OF VIGAN,VIGAN CITY,1,0,0,0
,CITY OF ZAMBOANGA,ZAMBOANGA CITY,1,0,0,0
,RODRIGUEZ MONTALBAN,RODRIGUEZ,,,,
,QUEZON CITY 1116 QUEZ,QUEZON CITY,,,,
